tweet_id,text,intent,expected_action,label_reason
2265595,"@AmazonHelp Hi again, I just opened up the Amazon app and it showed the same thing again about revising my payment method, it keeps happening for the same item too.",,,
2238247,"@AmazonHelp @652670 It’s the same here, looks like there are no deliveries at all this weekend they were there till mid afternoon then when I went to order everything is Monday 13th no matter what or to where !!!",,,
1612466,@AmazonHelp Why can't be the seller quoting lower price be available for prime members??,,,
2900341,@AmazonHelp Ive had to cancel one job interview so far. guess this will be my day now. sitting around waiting for the time when they get around to delivering my item on whatever timetable they devise unbeknownst to me. #XPO,,,
1487712,"@AmazonHelp There is no such response..
don't know what's wrong with you guys..",,,
2025577,@AmazonHelp Y'all have put notes on my account over and over you were drivers could care less about the notes,,,
277090,@AmazonHelp How many times should I give details. Fed up with u,,,
1401553,"@AmazonHelp I did but with the same response tat m getting since yesterday: Can't assure. I told u, writing to AMZ Ind is wasting time @16828",,,
1197937,@AmazonHelp I wouldn't be here if I hadn't tried that. Sorry for wasting your time 😁,,,
918016,@AmazonHelp Used it for years. Not parental controls. It’s this: https://t.co/pTqcplvstF,,,
430059,"@AmazonHelp your competitors in india like flipkart,infibeam,etc never ask these details to me or any customer den how dare you tell me this",,,
969933,@AmazonHelp Please do the needful.,,,
1786563,@AmazonHelp ありがとうAmazonさん！,,,
117891,@AmazonHelp no I haven’t tried it yet. I am in Canada though will I be able to have it delivered here?,,,
2397216,@AmazonHelp No sodding email since dispatch email on Saturday. Yesterday it was out for delivery.,,,
1350055,"@AmazonHelp As far as I can see looking over the orders information there doesn't appear to be a listed courier, would it be somewhere more specific?",,,
981971,@AmazonHelp I’m not prepared to return it as I’m in the middle of reading it!  Any other solution? #needabook #constantreader @115830,,,
2933532,@AmazonHelp Voilà j’ai tout ! :) Bonne soirée et bon week-end !,,,
870053,@AmazonHelp Thanks I have emailed via the link.,,,
918879,"@AmazonHelp oui j'ai appelé pour signaler, à votre disposition pour plus de détail",,,
741634,@AmazonHelp Not yet.,,,
2962727,"@AmazonHelp None. Except for that I will have to wait for the package, which will now be almost three days late and will be too late for my trip unless it is here in the next minutes, which seems very unlikely. This is not what I pay for prime for. I stayed home today to receive this order.",,,
274095,"@AmazonHelp Well it's been 6days now guys!! The only response I have got is to wait for 24-48 hours......Nice!
#amazon #badcustomerservice",,,
551824,"@AmazonHelp Sagt nicht, die können die Bestellung noch stornieren? Das würde sich ja noch mehr nach ""Kunden zum Narren halten"" anfühlen.",,,
1491416,@AmazonHelp Zustellung Dienstag,,,
455475,"@AmazonHelp Call your customer representative can say is I bet you it will be there by tomorrow. Well, maybe Saturday. Because I told them that I had wanted to have this product for Saturday",,,
517660,@AmazonHelp Yeah contacted you guys through chat. Said that new delivery date MIGHT be on Monday. Well lets see what happens on Monday.,,,
1798384,@AmazonHelp Why am I paying from Prime and 2-Day shipping if your company can quietly not ship things for an undisclosed amount of time?,,,
954294,@AmazonHelp USPS. It's too late. Something I needed by tomorrow. You so easily could have resolved this on Thurs,,,
1370740,@AmazonHelp Cancelled my order (TBA510247977000). Did not arrive. Will download digitally. What is the point of your preorder service if it fails?,,,
244702,@AmazonHelp I hope you are working for delivery of my order by today eod.,,,
478475,@AmazonHelp Thank you. An update on twitter or email?,,,
477719,"@AmazonHelp Nouvelle date de livraison estimée : 1 déc. - 4 déc.      

Merci @120534 pour foutre en l'air mon jour de repos...

@AmazonHelp La marche à suivre ? Parce que je paye un abonnement PRIME quand même pour une livraison en 1 jour...",,,
2171221,@AmazonHelp i will wait for reply till then i wont take any legal action...............thank u so much,,,
1118045,@AmazonHelp It's not personal info 4 me.I agree that it's embarrassing for Amazon team but do consider the horrifying exp I had and it should be public.,,,
2793034,@AmazonHelp Muchas gracias por la atención :),,,
1943703,"@AmazonHelp Well, I pre-ordered it in May for release date delivery, which was yesterday. In my account the order is still open with no delivery date.",,,
996688,"@AmazonHelp Question is *how* to return it. I'm ready to do so now, but can't find any link anywhere for it. Super easy for non-digital orders.",,,
930159,"@AmazonHelp Are you able to provide invoices to purchases that appear on a credit card statement? I only have the purchase date, amount and credit card number. Please help!!!",,,
